match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
52,2020,2021-02-19,Hyderabad,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,19,0,Kuldeep Yadav
53,2020,2021-02-22,Mohali,PCA Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,64,0,Ruturaj Gaikwad
54,2020,2021-02-25,Delhi,Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,0,3,Liam Livingstone
55,2020,2021-02-28,Kolkata,Eden Gardens,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,0,8,Shikhar Dhawan
56,2020,2021-03-03,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,23,0,Jos Buttler
57,2020,2021-03-06,Bangalore,Chinnaswamy Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,9,Venkatesh Iyer
58,2020,2021-03-09,Kolkata,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,54,0,T Natarajan
59,2020,2021-03-12,Jaipur,Sawai Mansingh Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,68,0,Faf du Plessis
60,2020,2021-03-15,Mohali,PCA Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0,3,Ravichandran Ashwin
61,2021,2021-04-07,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,3,Ravichandran Ashwin
62,2021,2021-04-10,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,Hardik Pandya
63,2021,2021-04-13,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,50,0,Aiden Markram
64,2021,2021-04-16,Mumbai,Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,25,0,Ruturaj Gaikwad
65,2021,2021-04-19,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,3,Rinku Singh
66,2021,2021-04-22,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Chennai Super Kings,0,7,Devon Conway
67,2021,2021-04-25,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,78,0,Rohit Sharma
68,2021,2021-04-28,Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,1,Ravichandran Ashwin
69,2021,2021-05-01,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,0,3,Sam Curran
70,2021,2021-05-04,Mohali,PCA Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,0,6,Jos Buttler
71,2021,2021-05-07,Mohali,PCA Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,0,6,Virat Kohli
72,2021,2021-05-10,Delhi,Arun Jaitley Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,0,6,Arshdeep Singh
73,2021,2021-05-13,Mumbai,Wankhede Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,0,8,Shimron Hetmyer
74,2021,2021-05-16,Mohali,PCA Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,43,0,Andre Russell
75,2021,2021-05-19,Kolkata,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,7,Rishabh Pant
76,2021,2021-05-22,Mohali,PCA Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,30,0,Glenn Maxwell
77,2021,2021-05-25,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,0,9,Rishabh Pant
78,2021,2021-05-28,Kolkata,Eden Gardens,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,1,Ishan Kishan
79,2021,2021-05-31,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,68,0,Shikhar Dhawan
80,2021,2021-06-03,Jaipur,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,12,0,Yuzvendra Chahal
81,2021,2021-06-06,Chennai,MA Chidambaram Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,25,0,Suryakumar Yadav
82,2021,2021-06-09,Kolkata,Eden Gardens,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,72,0,Hardik Pandya
83,2021,2021-06-12,Jaipur,Sawai Mansingh Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,18,0,Jonny Bairstow
84,2021,2021-06-15,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,26,0,Shreyas Iyer
85,2021,2021-06-18,Mohali,PCA Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,8,Shreyas Iyer
86,2021,2021-06-21,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,40,0,Faf du Plessis
87,2021,2021-06-24,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,Hardik Pandya
88,2021,2021-06-27,Mohali,PCA Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,6,Shimron Hetmyer
89,2021,2021-06-30,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,1,Suryakumar Yadav
90,2021,2021-07-03,Mohali,PCA Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Punjab Kings,0,8,Shikhar Dhawan
91,2021,2021-07-06,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,48,0,Liam Livingstone
92,2021,2021-07-09,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,0,6,Shikhar Dhawan
93,2021,2021-07-12,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,0,8,Liam Livingstone
94,2021,2021-07-15,Jaipur,Sawai Mansingh Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0,2,Rohit Sharma
95,2021,2021-07-18,Bangalore,Chinnaswamy Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Kolkata Knight Riders,34,0,Shreyas Iyer
96,2021,2021-07-21,Bangalore,Chinnaswamy Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,7,Hardik Pandya
97,2021,2021-07-24,Mohali,PCA Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,14,0,Arshdeep Singh
98,2021,2021-07-27,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,0,3,Mohammed Siraj
99,2021,2021-07-30,Delhi,Arun Jaitley Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,36,0,Sam Curran
100,2021,2021-08-02,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,0,7,Ruturaj Gaikwad
101,2021,2021-08-05,Bangalore,Chinnaswamy Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Punjab Kings,0,2,Sam Curran
102,2021,2021-08-08,Bangalore,Chinnaswamy Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0,6,Ishan Kishan
103,2021,2021-08-11,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,0,9,Kane Williamson
104,2021,2021-08-14,Jaipur,Sawai Mansingh Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,18,0,Devon Conway
105,2021,2021-08-17,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,43,0,Glenn Maxwell
106,2021,2021-08-20,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,27,0,Andre Russell
107,2021,2021-08-23,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,35,0,Ravichandran Ashwin
108,2021,2021-08-26,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,15,0,Venkatesh Iyer
109,2021,2021-08-29,Jaipur,Sawai Mansingh Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,4,Ravichandran Ashwin
110,2021,2021-09-01,Kolkata,Eden Gardens,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,0,1,Liam Livingstone
111,2021,2021-09-04,Mumbai,Wankhede Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,51,0,Jos Buttler
112,2021,2021-09-07,Jaipur,Sawai Mansingh Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,45,0,Ravichandran Ashwin
113,2021,2021-09-10,Delhi,Arun Jaitley Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,0,7,Jos Buttler
114,2021,2021-09-13,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,0,5,Ravindra Jadeja
115,2021,2021-09-16,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,0,9,Sunil Narine
116,2021,2021-09-19,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0,6,Ravindra Jadeja
117,2021,2021-09-22,Delhi,Arun Jaitley Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,4,Kane Williamson
118,2021,2021-09-25,Jaipur,Sawai Mansingh Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,44,0,Kuldeep Yadav
119,2021,2021-09-28,Kolkata,Eden Gardens,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0,3,Devon Conway
120,2021,2021-10-01,Mohali,PCA Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,T Natarajan
121,2022,2021-10-24,Delhi,Arun Jaitley Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,1,Liam Livingstone
122,2022,2021-10-27,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,12,0,Yuzvendra Chahal
123,2022,2021-10-30,Kolkata,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,48,0,Ruturaj Gaikwad
124,2022,2021-11-02,Bangalore,Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,9,0,Faf du Plessis
125,2022,2021-11-05,Kolkata,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,22,0,Mohammed Siraj
126,2022,2021-11-08,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,63,0,Deepak Chahar
127,2022,2021-11-11,Mumbai,Wankhede Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,13,0,Venkatesh Iyer
128,2022,2021-11-14,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,47,0,Rinku Singh
129,2022,2021-11-17,Bangalore,Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,8,Ishan Kishan
130,2022,2021-11-20,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,58,0,Bhuvneshwar Kumar
131,2022,2021-11-23,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0,6,Jonny Bairstow
132,2022,2021-11-26,Chennai,MA Chidambaram Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,0,3,Sam Curran
133,2022,2021-11-29,Delhi,Arun Jaitley Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0,1,Jasprit Bumrah
134,2022,2021-12-02,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,19,0,Glenn Maxwell
135,2022,2021-12-05,Jaipur,Sawai Mansingh Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,40,0,Rohit Sharma
136,2022,2021-12-08,Jaipur,Sawai Mansingh Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,78,0,Liam Livingstone
137,2022,2021-12-11,Mumbai,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,0,6,Ruturaj Gaikwad
138,2022,2021-12-14,Delhi,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,16,0,Axar Patel
139,2022,2021-12-17,Hyderabad,Rajiv Gandhi International Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,71,0,David Warner
140,2022,2021-12-20,Chennai,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,1,Andre Russell
141,2022,2021-12-23,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,23,0,Bhuvneshwar Kumar
142,2022,2021-12-26,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,22,0,Mohammed Siraj
143,2022,2021-12-29,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,61,0,Sanju Samson
144,2022,2022-01-01,Delhi,Arun Jaitley Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,0,5,Shikhar Dhawan
145,2022,2022-01-04,Delhi,Arun Jaitley Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,0,2,Hardik Pandya
146,2022,2022-01-07,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,6,Jonny Bairstow
147,2022,2022-01-10,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,50,0,Axar Patel
148,2022,2022-01-13,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,15,0,Faf du Plessis
149,2022,2022-01-16,Mohali,PCA Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,66,0,Venkatesh Iyer
150,2022,2022-01-19,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,8,Ravichandran Ashwin
151,2022,2022-01-22,Delhi,Arun Jaitley Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,70,0,Hardik Pandya
152,2022,2022-01-25,Mumbai,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,9,Jos Buttler
153,2022,2022-01-28,Chennai,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,11,0,Andre Russell
154,2022,2022-01-31,Bangalore,Chinnaswamy Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,0,7,Arshdeep Singh
155,2022,2022-02-03,Delhi,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,0,5,Jasprit Bumrah
156,2022,2022-02-06,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,3,Dinesh Karthik
157,2022,2022-02-09,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,60,0,Deepak Chahar
158,2022,2022-02-12,Delhi,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,0,8,Prithvi Shaw
159,2022,2022-02-15,Bangalore,Chinnaswamy Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,70,0,Deepak Chahar
