delivery_id,match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,batsman_runs,extras,total_runs,is_wicket,dismissal_kind
21,1,1,Chennai Super Kings,Mumbai Indians,4,3,Ravindra Jadeja,Hardik Pandya,2,0,2,0,
22,1,1,Chennai Super Kings,Mumbai Indians,4,4,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
23,1,1,Chennai Super Kings,Mumbai Indians,4,5,MS Dhoni,Hardik Pandya,1,0,1,0,
24,1,1,Chennai Super Kings,Mumbai Indians,4,6,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
25,1,1,Chennai Super Kings,Mumbai Indians,5,1,MS Dhoni,Hardik Pandya,1,1,2,0,
26,1,1,Chennai Super Kings,Mumbai Indians,5,2,Ruturaj Gaikwad,Ishan Kishan,1,0,1,0,
27,1,1,Chennai Super Kings,Mumbai Indians,5,3,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
28,1,1,Chennai Super Kings,Mumbai Indians,5,4,Ravindra Jadeja,Ishan Kishan,6,0,6,0,
29,1,1,Chennai Super Kings,Mumbai Indians,5,5,MS Dhoni,Ishan Kishan,0,0,0,0,
30,1,1,Chennai Super Kings,Mumbai Indians,5,6,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
31,1,1,Chennai Super Kings,Mumbai Indians,6,1,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
32,1,1,Chennai Super Kings,Mumbai Indians,6,2,Ruturaj Gaikwad,Ishan Kishan,1,0,1,0,
33,1,1,Chennai Super Kings,Mumbai Indians,6,3,MS Dhoni,Jasprit Bumrah,1,0,1,0,
34,1,1,Chennai Super Kings,Mumbai Indians,6,4,MS Dhoni,Ishan Kishan,4,0,4,0,
35,1,1,Chennai Super Kings,Mumbai Indians,6,5,MS Dhoni,Jasprit Bumrah,4,0,4,0,
36,1,1,Chennai Super Kings,Mumbai Indians,6,6,Ravindra Jadeja,Ishan Kishan,0,0,0,0,
37,1,1,Chennai Super Kings,Mumbai Indians,7,1,MS Dhoni,Hardik Pandya,6,0,6,0,
38,1,1,Chennai Super Kings,Mumbai Indians,7,2,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
39,1,1,Chennai Super Kings,Mumbai Indians,7,3,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
40,1,1,Chennai Super Kings,Mumbai Indians,7,4,MS Dhoni,Ishan Kishan,0,0,0,0,
41,1,1,Chennai Super Kings,Mumbai Indians,7,5,Ruturaj Gaikwad,Ishan Kishan,2,0,2,0,
42,1,1,Chennai Super Kings,Mumbai Indians,7,6,MS Dhoni,Ishan Kishan,4,0,4,0,
43,1,1,Chennai Super Kings,Mumbai Indians,8,1,Ravindra Jadeja,Ishan Kishan,1,0,1,0,
44,1,1,Chennai Super Kings,Mumbai Indians,8,2,Ruturaj Gaikwad,Ishan Kishan,1,0,1,0,
45,1,1,Chennai Super Kings,Mumbai Indians,8,3,Ruturaj Gaikwad,Jasprit Bumrah,6,0,6,0,
46,1,1,Chennai Super Kings,Mumbai Indians,8,4,Ravindra Jadeja,Hardik Pandya,6,0,6,0,
47,1,1,Chennai Super Kings,Mumbai Indians,8,5,Ravindra Jadeja,Hardik Pandya,2,0,2,0,
48,1,1,Chennai Super Kings,Mumbai Indians,8,6,Ravindra Jadeja,Jasprit Bumrah,2,0,2,0,
49,1,1,Chennai Super Kings,Mumbai Indians,9,1,Ravindra Jadeja,Hardik Pandya,0,0,0,0,
50,1,1,Chennai Super Kings,Mumbai Indians,9,2,Ruturaj Gaikwad,Ishan Kishan,2,1,3,0,
51,1,1,Chennai Super Kings,Mumbai Indians,9,3,Ruturaj Gaikwad,Jasprit Bumrah,1,0,1,0,
52,1,1,Chennai Super Kings,Mumbai Indians,9,4,MS Dhoni,Hardik Pandya,1,0,1,0,
53,1,1,Chennai Super Kings,Mumbai Indians,9,5,Ravindra Jadeja,Ishan Kishan,1,0,1,0,
54,1,1,Chennai Super Kings,Mumbai Indians,9,6,MS Dhoni,Ishan Kishan,0,0,0,0,
55,1,1,Chennai Super Kings,Mumbai Indians,10,1,Ravindra Jadeja,Jasprit Bumrah,2,0,2,0,
56,1,1,Chennai Super Kings,Mumbai Indians,10,2,MS Dhoni,Hardik Pandya,1,0,1,0,
57,1,1,Chennai Super Kings,Mumbai Indians,10,3,MS Dhoni,Jasprit Bumrah,1,0,1,0,
58,1,1,Chennai Super Kings,Mumbai Indians,10,4,MS Dhoni,Jasprit Bumrah,0,0,0,0,
59,1,1,Chennai Super Kings,Mumbai Indians,10,5,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
60,1,1,Chennai Super Kings,Mumbai Indians,10,6,Ravindra Jadeja,Ishan Kishan,4,1,5,0,
61,1,1,Chennai Super Kings,Mumbai Indians,11,1,MS Dhoni,Ishan Kishan,1,0,1,0,
62,1,1,Chennai Super Kings,Mumbai Indians,11,2,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
63,1,1,Chennai Super Kings,Mumbai Indians,11,3,Ruturaj Gaikwad,Jasprit Bumrah,1,1,2,0,
64,1,1,Chennai Super Kings,Mumbai Indians,11,4,Ruturaj Gaikwad,Ishan Kishan,1,0,1,0,
65,1,1,Chennai Super Kings,Mumbai Indians,11,5,MS Dhoni,Hardik Pandya,0,0,0,0,
66,1,1,Chennai Super Kings,Mumbai Indians,11,6,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
67,1,1,Chennai Super Kings,Mumbai Indians,12,1,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
68,1,1,Chennai Super Kings,Mumbai Indians,12,2,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
69,1,1,Chennai Super Kings,Mumbai Indians,12,3,Ravindra Jadeja,Ishan Kishan,1,1,2,0,
70,1,1,Chennai Super Kings,Mumbai Indians,12,4,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
71,1,1,Chennai Super Kings,Mumbai Indians,12,5,Ravindra Jadeja,Jasprit Bumrah,1,0,1,0,
72,1,1,Chennai Super Kings,Mumbai Indians,12,6,Ravindra Jadeja,Jasprit Bumrah,6,0,6,0,
73,1,1,Chennai Super Kings,Mumbai Indians,13,1,Ruturaj Gaikwad,Hardik Pandya,4,0,4,0,
74,1,1,Chennai Super Kings,Mumbai Indians,13,2,Ruturaj Gaikwad,Ishan Kishan,1,0,1,0,
75,1,1,Chennai Super Kings,Mumbai Indians,13,3,Ravindra Jadeja,Jasprit Bumrah,2,0,2,0,
76,1,1,Chennai Super Kings,Mumbai Indians,13,4,Ravindra Jadeja,Hardik Pandya,1,0,1,0,
77,1,1,Chennai Super Kings,Mumbai Indians,13,5,Ravindra Jadeja,Hardik Pandya,1,0,1,0,
78,1,1,Chennai Super Kings,Mumbai Indians,13,6,Ravindra Jadeja,Ishan Kishan,1,0,1,0,
79,1,1,Chennai Super Kings,Mumbai Indians,14,1,Ravindra Jadeja,Ishan Kishan,1,0,1,0,
80,1,1,Chennai Super Kings,Mumbai Indians,14,2,Ravindra Jadeja,Ishan Kishan,1,1,2,0,
81,1,1,Chennai Super Kings,Mumbai Indians,14,3,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
82,1,1,Chennai Super Kings,Mumbai Indians,14,4,Ravindra Jadeja,Ishan Kishan,1,0,1,0,
83,1,1,Chennai Super Kings,Mumbai Indians,14,5,Ruturaj Gaikwad,Hardik Pandya,2,0,2,0,
84,1,1,Chennai Super Kings,Mumbai Indians,14,6,Ruturaj Gaikwad,Jasprit Bumrah,1,0,1,0,
85,1,1,Chennai Super Kings,Mumbai Indians,15,1,MS Dhoni,Jasprit Bumrah,4,0,4,0,
86,1,1,Chennai Super Kings,Mumbai Indians,15,2,Ruturaj Gaikwad,Hardik Pandya,2,0,2,0,
87,1,1,Chennai Super Kings,Mumbai Indians,15,3,MS Dhoni,Hardik Pandya,2,0,2,0,
88,1,1,Chennai Super Kings,Mumbai Indians,15,4,MS Dhoni,Ishan Kishan,0,0,0,0,
89,1,1,Chennai Super Kings,Mumbai Indians,15,5,Ravindra Jadeja,Jasprit Bumrah,6,0,6,0,
90,1,1,Chennai Super Kings,Mumbai Indians,15,6,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
91,1,1,Chennai Super Kings,Mumbai Indians,16,1,Ruturaj Gaikwad,Ishan Kishan,0,0,0,0,
92,1,1,Chennai Super Kings,Mumbai Indians,16,2,MS Dhoni,Ishan Kishan,1,0,1,0,
93,1,1,Chennai Super Kings,Mumbai Indians,16,3,Ruturaj Gaikwad,Jasprit Bumrah,2,0,2,0,
94,1,1,Chennai Super Kings,Mumbai Indians,16,4,MS Dhoni,Ishan Kishan,0,0,0,0,
95,1,1,Chennai Super Kings,Mumbai Indians,16,5,Ruturaj Gaikwad,Jasprit Bumrah,1,0,1,0,
96,1,1,Chennai Super Kings,Mumbai Indians,16,6,Ravindra Jadeja,Ishan Kishan,0,0,0,0,
97,1,1,Chennai Super Kings,Mumbai Indians,17,1,MS Dhoni,Hardik Pandya,1,0,1,0,
98,1,1,Chennai Super Kings,Mumbai Indians,17,2,Ravindra Jadeja,Ishan Kishan,4,1,5,0,
99,1,1,Chennai Super Kings,Mumbai Indians,17,3,Ravindra Jadeja,Jasprit Bumrah,0,0,0,0,
100,1,1,Chennai Super Kings,Mumbai Indians,17,4,Ruturaj Gaikwad,Ishan Kishan,0,0,0,0,
101,1,1,Chennai Super Kings,Mumbai Indians,17,5,Ravindra Jadeja,Hardik Pandya,1,0,1,0,
102,1,1,Chennai Super Kings,Mumbai Indians,17,6,Ravindra Jadeja,Jasprit Bumrah,1,0,1,0,
103,1,1,Chennai Super Kings,Mumbai Indians,18,1,Ruturaj Gaikwad,Hardik Pandya,1,0,1,0,
104,1,1,Chennai Super Kings,Mumbai Indians,18,2,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
105,1,1,Chennai Super Kings,Mumbai Indians,18,3,Ravindra Jadeja,Hardik Pandya,1,0,1,0,
106,1,1,Chennai Super Kings,Mumbai Indians,18,4,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
107,1,1,Chennai Super Kings,Mumbai Indians,18,5,MS Dhoni,Hardik Pandya,0,0,0,0,
108,1,1,Chennai Super Kings,Mumbai Indians,18,6,Ruturaj Gaikwad,Ishan Kishan,2,0,2,0,
109,1,1,Chennai Super Kings,Mumbai Indians,19,1,MS Dhoni,Ishan Kishan,0,0,0,0,
110,1,1,Chennai Super Kings,Mumbai Indians,19,2,Ruturaj Gaikwad,Ishan Kishan,4,0,4,0,
111,1,1,Chennai Super Kings,Mumbai Indians,19,3,Ravindra Jadeja,Jasprit Bumrah,6,0,6,0,
112,1,1,Chennai Super Kings,Mumbai Indians,19,4,MS Dhoni,Hardik Pandya,4,0,4,0,
113,1,1,Chennai Super Kings,Mumbai Indians,19,5,MS Dhoni,Hardik Pandya,4,0,4,0,
114,1,1,Chennai Super Kings,Mumbai Indians,19,6,MS Dhoni,Ishan Kishan,1,0,1,0,
115,1,1,Chennai Super Kings,Mumbai Indians,20,1,Ravindra Jadeja,Hardik Pandya,0,0,0,0,
116,1,1,Chennai Super Kings,Mumbai Indians,20,2,MS Dhoni,Jasprit Bumrah,1,0,1,0,
117,1,1,Chennai Super Kings,Mumbai Indians,20,3,MS Dhoni,Hardik Pandya,6,0,6,0,
118,1,1,Chennai Super Kings,Mumbai Indians,20,4,Ravindra Jadeja,Ishan Kishan,4,0,4,0,
119,1,1,Chennai Super Kings,Mumbai Indians,20,5,Ruturaj Gaikwad,Jasprit Bumrah,6,0,6,0,
120,1,1,Chennai Super Kings,Mumbai Indians,20,6,MS Dhoni,Jasprit Bumrah,0,0,0,0,
121,1,2,Mumbai Indians,Chennai Super Kings,1,1,Jasprit Bumrah,Devon Conway,1,0,1,0,
122,1,2,Mumbai Indians,Chennai Super Kings,1,2,Suryakumar Yadav,Devon Conway,1,0,1,0,
123,1,2,Mumbai Indians,Chennai Super Kings,1,3,Rohit Sharma,Devon Conway,1,0,1,0,
124,1,2,Mumbai Indians,Chennai Super Kings,1,4,Suryakumar Yadav,Devon Conway,6,0,6,0,
125,1,2,Mumbai Indians,Chennai Super Kings,1,5,Jasprit Bumrah,Ravindra Jadeja,2,0,2,0,
126,1,2,Mumbai Indians,Chennai Super Kings,1,6,Suryakumar Yadav,Ravindra Jadeja,2,0,2,0,
127,1,2,Mumbai Indians,Chennai Super Kings,2,1,Rohit Sharma,Devon Conway,0,0,0,0,
128,1,2,Mumbai Indians,Chennai Super Kings,2,2,Jasprit Bumrah,Ravindra Jadeja,1,0,1,0,
129,1,2,Mumbai Indians,Chennai Super Kings,2,3,Jasprit Bumrah,Ravindra Jadeja,0,0,0,0,
130,1,2,Mumbai Indians,Chennai Super Kings,2,4,Rohit Sharma,Ravindra Jadeja,6,0,6,0,
131,1,2,Mumbai Indians,Chennai Super Kings,2,5,Suryakumar Yadav,Ravindra Jadeja,6,1,7,0,
132,1,2,Mumbai Indians,Chennai Super Kings,2,6,Suryakumar Yadav,Ravindra Jadeja,4,0,4,0,
133,1,2,Mumbai Indians,Chennai Super Kings,3,1,Suryakumar Yadav,Devon Conway,0,0,0,0,
134,1,2,Mumbai Indians,Chennai Super Kings,3,2,Rohit Sharma,Devon Conway,1,0,1,0,
135,1,2,Mumbai Indians,Chennai Super Kings,3,3,Suryakumar Yadav,Deepak Chahar,0,0,0,0,
136,1,2,Mumbai Indians,Chennai Super Kings,3,4,Rohit Sharma,Ravindra Jadeja,1,0,1,0,
137,1,2,Mumbai Indians,Chennai Super Kings,3,5,Rohit Sharma,Deepak Chahar,0,0,0,0,
138,1,2,Mumbai Indians,Chennai Super Kings,3,6,Jasprit Bumrah,Ravindra Jadeja,1,0,1,0,
139,1,2,Mumbai Indians,Chennai Super Kings,4,1,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
140,1,2,Mumbai Indians,Chennai Super Kings,4,2,Rohit Sharma,Deepak Chahar,6,0,6,0,
141,1,2,Mumbai Indians,Chennai Super Kings,4,3,Rohit Sharma,Deepak Chahar,2,0,2,0,
142,1,2,Mumbai Indians,Chennai Super Kings,4,4,Jasprit Bumrah,Deepak Chahar,0,0,0,0,
143,1,2,Mumbai Indians,Chennai Super Kings,4,5,Rohit Sharma,Ravindra Jadeja,4,0,4,0,
144,1,2,Mumbai Indians,Chennai Super Kings,4,6,Jasprit Bumrah,Devon Conway,1,0,1,0,
145,1,2,Mumbai Indians,Chennai Super Kings,5,1,Rohit Sharma,Devon Conway,1,0,1,0,
146,1,2,Mumbai Indians,Chennai Super Kings,5,2,Jasprit Bumrah,Deepak Chahar,0,1,1,1,lbw
147,1,2,Mumbai Indians,Chennai Super Kings,5,3,Rohit Sharma,Deepak Chahar,1,0,1,0,
148,1,2,Mumbai Indians,Chennai Super Kings,5,4,Jasprit Bumrah,Ravindra Jadeja,2,0,2,0,
149,1,2,Mumbai Indians,Chennai Super Kings,5,5,Suryakumar Yadav,Ravindra Jadeja,0,0,0,0,
150,1,2,Mumbai Indians,Chennai Super Kings,5,6,Rohit Sharma,Devon Conway,6,0,6,0,
151,1,2,Mumbai Indians,Chennai Super Kings,6,1,Jasprit Bumrah,Devon Conway,1,0,1,0,
152,1,2,Mumbai Indians,Chennai Super Kings,6,2,Rohit Sharma,Ravindra Jadeja,1,0,1,0,
153,1,2,Mumbai Indians,Chennai Super Kings,6,3,Rohit Sharma,Devon Conway,1,0,1,0,
154,1,2,Mumbai Indians,Chennai Super Kings,6,4,Suryakumar Yadav,Devon Conway,2,0,2,0,
155,1,2,Mumbai Indians,Chennai Super Kings,6,5,Jasprit Bumrah,Ravindra Jadeja,0,0,0,0,
156,1,2,Mumbai Indians,Chennai Super Kings,6,6,Rohit Sharma,Ravindra Jadeja,1,0,1,0,
157,1,2,Mumbai Indians,Chennai Super Kings,7,1,Jasprit Bumrah,Deepak Chahar,1,0,1,0,
158,1,2,Mumbai Indians,Chennai Super Kings,7,2,Rohit Sharma,Ravindra Jadeja,0,1,1,0,
159,1,2,Mumbai Indians,Chennai Super Kings,7,3,Jasprit Bumrah,Deepak Chahar,0,0,0,0,
160,1,2,Mumbai Indians,Chennai Super Kings,7,4,Rohit Sharma,Ravindra Jadeja,0,0,0,1,run out
161,1,2,Mumbai Indians,Chennai Super Kings,7,5,Suryakumar Yadav,Deepak Chahar,1,0,1,0,
162,1,2,Mumbai Indians,Chennai Super Kings,7,6,Suryakumar Yadav,Ravindra Jadeja,2,0,2,0,
163,1,2,Mumbai Indians,Chennai Super Kings,8,1,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
164,1,2,Mumbai Indians,Chennai Super Kings,8,2,Suryakumar Yadav,Deepak Chahar,6,0,6,0,
165,1,2,Mumbai Indians,Chennai Super Kings,8,3,Jasprit Bumrah,Devon Conway,0,0,0,0,
166,1,2,Mumbai Indians,Chennai Super Kings,8,4,Rohit Sharma,Devon Conway,2,0,2,0,
167,1,2,Mumbai Indians,Chennai Super Kings,8,5,Rohit Sharma,Ravindra Jadeja,2,0,2,0,
168,1,2,Mumbai Indians,Chennai Super Kings,8,6,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
169,1,2,Mumbai Indians,Chennai Super Kings,9,1,Rohit Sharma,Ravindra Jadeja,1,1,2,0,
170,1,2,Mumbai Indians,Chennai Super Kings,9,2,Suryakumar Yadav,Ravindra Jadeja,0,0,0,0,
171,1,2,Mumbai Indians,Chennai Super Kings,9,3,Suryakumar Yadav,Ravindra Jadeja,1,0,1,0,
172,1,2,Mumbai Indians,Chennai Super Kings,9,4,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
173,1,2,Mumbai Indians,Chennai Super Kings,9,5,Suryakumar Yadav,Ravindra Jadeja,4,0,4,0,
174,1,2,Mumbai Indians,Chennai Super Kings,9,6,Suryakumar Yadav,Devon Conway,0,0,0,0,
175,1,2,Mumbai Indians,Chennai Super Kings,10,1,Suryakumar Yadav,Deepak Chahar,2,0,2,0,
176,1,2,Mumbai Indians,Chennai Super Kings,10,2,Suryakumar Yadav,Deepak Chahar,6,1,7,0,
177,1,2,Mumbai Indians,Chennai Super Kings,10,3,Jasprit Bumrah,Deepak Chahar,2,0,2,1,run out
178,1,2,Mumbai Indians,Chennai Super Kings,10,4,Rohit Sharma,Ravindra Jadeja,1,0,1,0,
179,1,2,Mumbai Indians,Chennai Super Kings,10,5,Rohit Sharma,Devon Conway,0,0,0,0,
180,1,2,Mumbai Indians,Chennai Super Kings,10,6,Jasprit Bumrah,Devon Conway,0,0,0,0,
181,1,2,Mumbai Indians,Chennai Super Kings,11,1,Suryakumar Yadav,Ravindra Jadeja,6,0,6,0,
182,1,2,Mumbai Indians,Chennai Super Kings,11,2,Rohit Sharma,Ravindra Jadeja,4,0,4,0,
183,1,2,Mumbai Indians,Chennai Super Kings,11,3,Suryakumar Yadav,Devon Conway,6,0,6,0,
184,1,2,Mumbai Indians,Chennai Super Kings,11,4,Rohit Sharma,Deepak Chahar,4,0,4,0,
185,1,2,Mumbai Indians,Chennai Super Kings,11,5,Suryakumar Yadav,Deepak Chahar,6,0,6,0,
186,1,2,Mumbai Indians,Chennai Super Kings,11,6,Suryakumar Yadav,Devon Conway,2,0,2,0,
187,1,2,Mumbai Indians,Chennai Super Kings,12,1,Suryakumar Yadav,Ravindra Jadeja,0,0,0,0,
188,1,2,Mumbai Indians,Chennai Super Kings,12,2,Jasprit Bumrah,Ravindra Jadeja,0,0,0,0,
189,1,2,Mumbai Indians,Chennai Super Kings,12,3,Suryakumar Yadav,Ravindra Jadeja,1,1,2,0,
190,1,2,Mumbai Indians,Chennai Super Kings,12,4,Suryakumar Yadav,Devon Conway,0,0,0,0,
191,1,2,Mumbai Indians,Chennai Super Kings,12,5,Jasprit Bumrah,Devon Conway,4,0,4,0,
192,1,2,Mumbai Indians,Chennai Super Kings,12,6,Suryakumar Yadav,Ravindra Jadeja,0,0,0,0,
193,1,2,Mumbai Indians,Chennai Super Kings,13,1,Jasprit Bumrah,Ravindra Jadeja,2,0,2,0,
194,1,2,Mumbai Indians,Chennai Super Kings,13,2,Rohit Sharma,Devon Conway,4,0,4,0,
195,1,2,Mumbai Indians,Chennai Super Kings,13,3,Rohit Sharma,Devon Conway,0,0,0,0,
196,1,2,Mumbai Indians,Chennai Super Kings,13,4,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
197,1,2,Mumbai Indians,Chennai Super Kings,13,5,Jasprit Bumrah,Deepak Chahar,0,0,0,0,
198,1,2,Mumbai Indians,Chennai Super Kings,13,6,Rohit Sharma,Ravindra Jadeja,6,0,6,0,
199,1,2,Mumbai Indians,Chennai Super Kings,14,1,Rohit Sharma,Ravindra Jadeja,4,0,4,0,
200,1,2,Mumbai Indians,Chennai Super Kings,14,2,Rohit Sharma,Devon Conway,0,1,1,0,
201,1,2,Mumbai Indians,Chennai Super Kings,14,3,Jasprit Bumrah,Devon Conway,1,0,1,0,
202,1,2,Mumbai Indians,Chennai Super Kings,14,4,Suryakumar Yadav,Ravindra Jadeja,4,0,4,0,
203,1,2,Mumbai Indians,Chennai Super Kings,14,5,Rohit Sharma,Ravindra Jadeja,1,0,1,0,
204,1,2,Mumbai Indians,Chennai Super Kings,14,6,Suryakumar Yadav,Devon Conway,4,0,4,0,
205,1,2,Mumbai Indians,Chennai Super Kings,15,1,Suryakumar Yadav,Ravindra Jadeja,1,0,1,0,
206,1,2,Mumbai Indians,Chennai Super Kings,15,2,Rohit Sharma,Deepak Chahar,6,0,6,1,run out
207,1,2,Mumbai Indians,Chennai Super Kings,15,3,Jasprit Bumrah,Devon Conway,1,0,1,0,
208,1,2,Mumbai Indians,Chennai Super Kings,15,4,Jasprit Bumrah,Deepak Chahar,0,0,0,1,bowled
209,1,2,Mumbai Indians,Chennai Super Kings,15,5,Rohit Sharma,Devon Conway,0,1,1,0,
210,1,2,Mumbai Indians,Chennai Super Kings,15,6,Jasprit Bumrah,Ravindra Jadeja,6,0,6,0,
211,1,2,Mumbai Indians,Chennai Super Kings,16,1,Suryakumar Yadav,Deepak Chahar,4,1,5,0,
212,1,2,Mumbai Indians,Chennai Super Kings,16,2,Rohit Sharma,Deepak Chahar,4,0,4,0,
213,1,2,Mumbai Indians,Chennai Super Kings,16,3,Rohit Sharma,Ravindra Jadeja,0,0,0,0,
214,1,2,Mumbai Indians,Chennai Super Kings,16,4,Suryakumar Yadav,Deepak Chahar,0,0,0,0,
215,1,2,Mumbai Indians,Chennai Super Kings,16,5,Jasprit Bumrah,Ravindra Jadeja,1,0,1,0,
216,1,2,Mumbai Indians,Chennai Super Kings,16,6,Suryakumar Yadav,Deepak Chahar,0,0,0,0,
217,1,2,Mumbai Indians,Chennai Super Kings,17,1,Rohit Sharma,Deepak Chahar,0,0,0,1,bowled
218,1,2,Mumbai Indians,Chennai Super Kings,17,2,Rohit Sharma,Devon Conway,2,1,3,0,
219,1,2,Mumbai Indians,Chennai Super Kings,17,3,Suryakumar Yadav,Ravindra Jadeja,0,0,0,0,
220,1,2,Mumbai Indians,Chennai Super Kings,17,4,Rohit Sharma,Deepak Chahar,4,1,5,0,
221,1,2,Mumbai Indians,Chennai Super Kings,17,5,Jasprit Bumrah,Devon Conway,1,0,1,0,
222,1,2,Mumbai Indians,Chennai Super Kings,17,6,Rohit Sharma,Deepak Chahar,6,0,6,0,
223,1,2,Mumbai Indians,Chennai Super Kings,18,1,Jasprit Bumrah,Devon Conway,0,1,1,0,
224,1,2,Mumbai Indians,Chennai Super Kings,18,2,Jasprit Bumrah,Devon Conway,0,0,0,0,
225,1,2,Mumbai Indians,Chennai Super Kings,18,3,Suryakumar Yadav,Deepak Chahar,2,0,2,0,
226,1,2,Mumbai Indians,Chennai Super Kings,18,4,Jasprit Bumrah,Deepak Chahar,1,1,2,0,
227,1,2,Mumbai Indians,Chennai Super Kings,18,5,Rohit Sharma,Ravindra Jadeja,1,1,2,0,
228,1,2,Mumbai Indians,Chennai Super Kings,18,6,Rohit Sharma,Deepak Chahar,1,1,2,0,
229,1,2,Mumbai Indians,Chennai Super Kings,19,1,Jasprit Bumrah,Ravindra Jadeja,0,1,1,0,
230,1,2,Mumbai Indians,Chennai Super Kings,19,2,Rohit Sharma,Deepak Chahar,2,0,2,0,
231,1,2,Mumbai Indians,Chennai Super Kings,19,3,Rohit Sharma,Devon Conway,0,0,0,0,
232,1,2,Mumbai Indians,Chennai Super Kings,19,4,Rohit Sharma,Deepak Chahar,0,0,0,0,
233,1,2,Mumbai Indians,Chennai Super Kings,19,5,Rohit Sharma,Devon Conway,1,0,1,0,
234,1,2,Mumbai Indians,Chennai Super Kings,19,6,Rohit Sharma,Devon Conway,2,0,2,0,
235,1,2,Mumbai Indians,Chennai Super Kings,20,1,Rohit Sharma,Ravindra Jadeja,1,0,1,1,caught
236,1,2,Mumbai Indians,Chennai Super Kings,20,2,Suryakumar Yadav,Devon Conway,6,0,6,0,
237,1,2,Mumbai Indians,Chennai Super Kings,20,3,Suryakumar Yadav,Ravindra Jadeja,2,0,2,0,
238,1,2,Mumbai Indians,Chennai Super Kings,20,4,Rohit Sharma,Devon Conway,1,0,1,0,
239,1,2,Mumbai Indians,Chennai Super Kings,20,5,Rohit Sharma,Devon Conway,6,0,6,0,
